MYlive，CVS格式化源

香港HK,#genre#
翡翠台,http://url.cdnhs.store:48559/mytv.php?id=1
翡翠台,http://url.cdnhs.store:48559/hstw.php?id=MytvTvbJade
翡翠台,http://url.cdnhs.store:48559/hstw.php?id=TVBjadeHK
翡翠台,http://url.cdnhs.store:48559/hstw.php?id=jadehk
翡翠台,http://url.cdnhs.store:48559/hstw.php?id=TVBJHK
翡翠台,http://url.cdnhs.store:48559/hstw.php?id=MytvTvbJade
翡翠台,http://url.cdnhs.store:48559/hstw.php?id=TVBjadeHK
翡翠台,http://url.cdnhs.store:48559/hstw.php?id=jadehk
明珠台,http://url.cdnhs.store:48559/mytv.php?id=2
明珠台,http://url.cdnhs.store:48559/hstw.php?id=MytvTvbPearl
明珠台,http://url.cdnhs.store:48559/hstw.php?id=tvbpearl
明珠台,http://url.cdnhs.store:48559/hstw.php?id=TVBPearlHK
明珠台,http://url.cdnhs.store:48559/hstw.php?id=pearlhk
明珠台,http://url.cdnhs.store:48559/hstw.php?id=TVBP
無綫新聞台,http://url.cdnhs.store:48559/mytv.php?id=3
TVBPlus,http://url.cdnhs.store:48559/mytv.php?id=5
TVBPlus,http://url.cdnhs.store:48559/hstw.php?id=MytvTvbPlus
TVBPlus,http://url.cdnhs.store:48559/hstw.php?id=tvbj2
TVBPlus,http://url.cdnhs.store:48559/hstw.php?id=j2hk
TVBPlus,http://url.cdnhs.store:48559/hstw.php?id=J2
TVBPlus,http://url.cdnhs.store:48559/hstw.php?id=TVBPlusHK
HOY资讯台,http://url.cdnhs.store:48559/hkfree.php?id=8
HOYTV,http://url.cdnhs.store:48559/hkfree.php?id=9
香港国际财经台,http://url.cdnhs.store:48559/hkfree.php?id=10
港台31,http://url.cdnhs.store:48559/hkfree.php?id=15
港台32,http://url.cdnhs.store:48559/hkfree.php?id=16
Viutv,http://url.cdnhs.store:48559/nowtv.php?id=71
Viutv6,http://url.cdnhs.store:48559/nowtv.php?id=72
有线18,http://url.cdnhs.store:48559/hkfree.php?id=17
C18跑马,http://url.cdnhs.store:48559/mytv.php?id=7
C18跑马,http://url.cdnhs.store:48559/hstw.php?id=Mytv18Channel
C18跑马,http://url.cdnhs.store:48559/hstw.php?id=TVBmyTVSUPER18HK
C18跑马,http://url.cdnhs.store:48559/hstw.php?id=C18
HOY生活台,http://url.cdnhs.store:48559/hkfree.php?id=35
HOY劇集台,http://url.cdnhs.store:48559/hkfree.php?id=36
HOY怪談台,http://url.cdnhs.store:48559/hkfree.php?id=37
Now财经台,http://url.cdnhs.store:48559/nowtv.php?id=14
Now新闻台,http://url.cdnhs.store:48559/nowtv.php?id=15
Now直播台,http://url.cdnhs.store:48559/nowtv.php?id=16
Now直播台,http://url.cdnhs.store:48559/hstw.php?id=Nowtvlive
Now直播台,http://url.cdnhs.store:48559/hstw.php?id=Now331HK
Now直播台,http://url.cdnhs.store:48559/hstw.php?id=NowLiveHK
Now直播台,http://url.cdnhs.store:48559/hstw.php?id=Nowtvlive
Now直播台,http://url.cdnhs.store:48559/hstw.php?id=Now331HK
Now直播台,http://url.cdnhs.store:48559/hstw.php?id=NowLiveHK
黄金翡翠台,http://url.cdnhs.store:48559/mytv.php?id=6
黄金翡翠台,http://url.cdnhs.store:48559/hstw.php?id=MytvGoldenJade
黄金翡翠台,http://url.cdnhs.store:48559/hstw.php?id=TVBGoldenJadeHK
黄金翡翠台,http://url.cdnhs.store:48559/hstw.php?id=TVBTVG
千禧经典台,http://url.cdnhs.store:48559/mytv.php?id=8
亚洲剧台,http://url.cdnhs.store:48559/mytv.php?id=9
亚洲剧台,http://url.cdnhs.store:48559/hstw.php?id=MytvAsianDrama
亚洲剧台,http://url.cdnhs.store:48559/hstw.php?id=TVBAsianDramaMO
亚洲剧台,http://url.cdnhs.store:48559/hstw.php?id=TVBAsianDramaHKBG
亚洲剧台,http://url.cdnhs.store:48559/hstw.php?id=TVBAsianDramaHK
亚洲剧台,http://url.cdnhs.store:48559/hstw.php?id=MYTVASIANDRAMA
亚洲剧台,http://url.cdnhs.store:48559/hstw.php?id=CTVS
华语剧台,http://url.cdnhs.store:48559/mytv.php?id=10
华语剧台,http://url.cdnhs.store:48559/hstw.php?id=MytvChineseDrama
华语剧台,http://url.cdnhs.store:48559/hstw.php?id=TVBChineseDramaHKCN
华语剧台,http://url.cdnhs.store:48559/hstw.php?id=TVBChineseDramaHK
华语剧台,http://url.cdnhs.store:48559/hstw.php?id=MYTVCHINESEDRAMA
华语剧台,http://url.cdnhs.store:48559/hstw.php?id=CDR3
KIX,http://url.cdnhs.store:48559/mytv.php?id=11
娱乐新闻台,http://url.cdnhs.store:48559/mytv.php?id=12
SUPER FREE,http://url.cdnhs.store:48559/mytv.php?id=13
戏曲台,http://url.cdnhs.store:48559/mytv.php?id=14
戏曲台,http://url.cdnhs.store:48559/hstw.php?id=MytvOperaChannel
戏曲台,http://url.cdnhs.store:48559/hstw.php?id=CCOC
